"age";"sex";"educ";"income";"savings";"marriage";"kids";"party";"turnout";"vote_history";"economy";"incumbent";"candidate"
37;"Female";"College Incomplete";2595.2523480801;14842.2035497487;"Yes";"0";"Independent";"No";"4";"About average";"Good";"Other"
26;"Female";"No High School Degree";2166.74048229777;24903.9067857385;"Yes";"0";"Independent";"Yes";"0";"Bad";"Don't Know";"Trampi"
35;"Male";"No High School Degree";8213.81033269784;5944.11839177828;"Yes";"1";"Socialist Party";"No";"0";"Bad";"About average";"Trampi"
43;"Male";"High School Degree";4619.97326360563;14576.1753363722;"No";"0";"Independent";"Yes";"4";"Bad";"Bad";"Other"
36;"Female";"College Degree or more";4072.06736588382;25398.7320477496;"No";"1";"Socialist Party";"No";"2";"Good";"Very Bad";"Rilari"
38;"Male";"College Incomplete";6463.01891596053;14363.6542935275;"No";"0";"Independent";"No";"1";"Bad";"About average";"None"
29;"Female";"High School Degree";2219.01405783319;5118.18086664898;"No";"1";"Independent";"No";"4";"Bad";"Very Bad";"Trampi"
33;"Male";"College Degree or more";2826.0615229913;14922.2850074928;"Yes";"0";"Independent";"No";"0";"Very Bad";"Good";"Rilari"
42;"Female";"College Incomplete";448.05938495702;14147.8519575879;"No";"0";"Independent";"No";"0";"Very Bad";"Bad";"Rilari"
41;"Male";"High School Degree";6540.19663720127;5419.37933770997;"No";"0";"Independent";"Yes";"4";"Good";"Very good";"Rilari"
25;"Female";"College Incomplete";1407.38431325666;14755.7505390012;"Yes";"0";"Independent";"Yes";"4";"About average";"Very good";"Trampi"
35;"Female";"High School Degree";43.6993309136977;4203.02145514139;"Yes";"0";"Conservative Party";"Yes";"4";"About average";"Very Bad";"Rilari"
35;"Female";"High School Degree";266.928986886718;5162.18838990776;"No";"0";"Independent";"No";"4";"Good";"Very good";"Rilari"
28;"Female";"College Incomplete";6696.28939968449;45351.4114649499;"Yes";"0";"Socialist Party";"Yes";"0";"Bad";"About average";"Rilari"
32;"Female";"High School Degree";524.244886705834;4639.68673212739;"No";"0";"Socialist Party";"Yes";"0";"About average";"About average";"Rilari"
40;"Male";"College Incomplete";2686.4805769548;34981.5597369275;"No";"0";"Socialist Party";"Yes";"4";"Bad";"Good";"Rilari"
37;"Male";"College Degree or more";4180.46654970248;15083.1500538179;"Yes";"0";"Socialist Party";"No";"0";"About average";"Very Bad";"Trampi"
34;"Male";"College Degree or more";4537.20097181164;35374.2725279303;"Yes";"0";"Conservative Party";"No";"2";"About average";"Very Bad";"Trampi"
33;"Male";"College Degree or more";2202.34508315111;4867.24747365113;"Yes";"3 or more";"Independent";"Yes";"4";"Good";"Very Bad";"Other"
29;"Female";"High School Degree";652.707145437635;4718.12938137429;"No";"2";"Conservative Party";"No";"3";"Good";"About average";"Rilari"
43;"Male";"No High School Degree";2300.42412914744;14801.0910406554;"Yes";"0";"Socialist Party";"Yes";"4";"Very Bad";"About average";"Trampi"
35;"Male";"College Degree or more";2929.6419198181;15011.5113732433;"Yes";"0";"Socialist Party";"Yes";"1";"Bad";"Very good";"Rilari"
30;"Female";"College Degree or more";6404.45088654769;4896.84094510783;"No";"3 or more";"Socialist Party";"No";"0";"Don't Know";"Don't Know";"Trampi"
29;"Male";"High School Degree";3017.94945389039;5103.64043969693;"Yes";"0";"Independent";"Yes";"4";"Bad";"Very Bad";"Other"
32;"Female";"High School Degree";874.760812840241;4884.78528008529;"Yes";"0";"Conservative Party";"Yes";"3";"Very Bad";"Bad";"Trampi"
38;"Male";"High School Degree";2879.75744059644;4785.09409667148;"No";"0";"Conservative Party";"Yes";"4";"Very good";"About average";"Rilari"
35;"Female";"High School Degree";4035.14029375018;24970.1924651604;"Yes";"1";"Independent";"No";"4";"Good";"About average";"Trampi"
37;"Male";"High School Degree";508.599336998159;4935.76173496978;"Yes";"2";"Independent";"Yes";"2";"Very Bad";"Very Bad";"Trampi"
32;"Female";"High School Degree";2108.53666878082;4872.18876171028;"No";"0";"Independent";"Yes";"0";"Bad";"Bad";"Rilari"
23;"Male";"High School Degree";2724.15365143469;15116.4183754834;"No";"0";"Conservative Party";"Yes";"0";"About average";"Good";"Trampi"
